correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
2,2,8,3,"The generated answer lacks factual accuracy and completeness, failing to explain the actual reason behind the Swiss National Bank's decision, but uses a simple and engaging analogy to convey a vague idea.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,"Imagine you have a big box of crayons, and inside that box, you have all your favorite colors. Now, imagine this box is ",9408
2,1,8,3,"The generated answer lacks factual accuracy and completeness, failing to address the question of how over-caffeinated coffee is made, but uses simple language and analogies that are clear for a novice.",How is over-caffeinated coffee made?,"Imagine you have a superpower that lets you make coffee. You want to make the best coffee ever, but you need a special r",13545
6,4,8,6,"The generated answer uses simple language and a relatable analogy, but lacks factual accuracy and completeness in addressing the specific health impacts of consuming 'shitfood' on weekends versus spreading it throughout the week.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Hey kiddo! Let's talk about food. Imagine you have a big jar of cookies that you love. You want to eat them all, but you",27527
8,6,9,7,"The generated answer effectively uses simple analogies to explain abstract math and its relation to computing, but lacks depth in covering the historical and application aspects of math in the reference answer.","Why does abstract math have so much history and application to computing, but computers are so new?","Imagine you have a toy box full of different toys, like blocks, dolls, and cars. Each toy represents a different type of",4866
2,2,6,3,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and provides misleading information about engine performance and horsepower.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,"Imagine you have a toy car that can go really fast. But if you want it to go even faster, you can make it go even faster",25847
4,6,8,6,"The generated answer is simple and easy to understand, but lacks factual accuracy and completeness in addressing the specific issue of unemployment rates for teens and young adults in the US.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"Hey there, kiddo! So, you know how sometimes grown-ups lose their jobs and have to look for a new one? Well, a long time",12540
2,1,8,3,"The generated answer lacks factual accuracy and completeness, but uses simple language and a clear analogy, making it somewhat easy to understand for a novice.",What is the purpose of the sewn on loop on a seat belt?,"Imagine you're on a train, and you're sitting in a seat with a seat belt. The seat belt is like a superhero cape that ke",5816
2,2,8,4,"The generated answer lacks factual accuracy and completeness, introducing unrelated concepts like stomach acid and urine, but uses simple language and analogies to explain the topic in an ELI5 manner.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Hey there, little buddy! Do you know how sometimes you might smell something that makes you feel icky? Like when you eat",6411
2,1,6,3,"The generated answer is mostly incorrect, incomplete, and lacks a clear explanation, but attempts to use simple language and analogies, resulting in low overall quality.","Why do dogs drink out of the toilet, even though you give them fresh water?",Dogs drink out of the toilet because it's their favorite thing to do! Just like how you like to drink from a cup or a bo,7965
6,4,8,6,"The generated answer is simple and easy to understand, but lacks factual accuracy and completeness in explaining the actual mechanism of zero-calorie energy drinks, relying on vague analogies and omitting key points from the reference answer.",How do zero calorie energy drinks work?,"Imagine you have a superpower that makes you super strong, but it's not from eating pizza or playing video games. It's f",2782
2,2,6,3,"The generated answer is creative but lacks factual accuracy and completeness, failing to address the actual reasons for poor sound quality at drive-throughs, such as lack of incentive for high-quality equipment.",Why is the sound quality at a drive through so bad?,"Imagine you're at the drive-through, and you order a hot dog. The person taking your order says, ""That'll be $5.50."" You",17821
6,4,8,6,"The generated answer uses a good analogy with the Lego set, but lacks key points from the reference, such as Adobe's target market and reputation, and includes some vague statements about the company's efforts to make products more affordable.",why are adobe products so expensive?,"Imagine you have a super cool Lego set that you really want, but it costs $100. Now imagine your friend has the same Leg",1461
6,7,8,7,"The generated answer is mostly correct, but introduces unnecessary and somewhat confusing analogies, such as the ice cream example, which detract from its overall quality and factual accuracy.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","You know how sometimes you drink a glass of water and it tastes just right? Like, it's not too salty or too sweet? And t",19135
8,7,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the relationship between volts, amps, and watts, and oversimplifies the concept of amp hours.","What is the difference between watts, volts and amps? Amp hours?","Hey there, little buddy! Do you know how to turn on the lights in your house? You need electricity to make the lights wo",5483
6,7,8,7,"The generated answer provides a clear and simple explanation of time statistics, but lacks precision in explaining the calculation process and introduces unnecessary complexity with the 'secret code' and 'super-smart calculators' analogies.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Hey there little buddy! So, you want to know how time statistics are calculated? Well, let me tell you a secret about ho",6140
6,4,8,6,The generated answer attempts to explain the concept in a simple manner but introduces unnecessary complexity and fails to directly address the 5th amendment's protection against coerced testimony.,Are undercover cops not a violation of the 5th amendment?,"Hey there, kiddo! So, you want to know about undercover cops? Well, let me tell you a secret: it's not always a good thi",25797
2,2,6,3,"The generated answer is mostly incorrect and incomplete, introducing hallucinations like the pill being used in pre-modern times, but attempts to explain complex concepts in simple terms.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In the old days, brothels were like big hotels, but instead of rooms, they had lots of people living together. And somet",795
2,1,6,2,"The generated answer is mostly incorrect and incomplete, providing a fictional and unrelated explanation for the presence of ice in men's urinals, while only attempting to simplify the concept with an analogy.",Why is there ice in the mens urinals,"Imagine you're playing with a big bucket of water, and you want to make ice cubes. You put the bucket in the freezer and",2054
6,4,8,6,"The generated answer is simple and easy to understand, but lacks key points from the reference answer, such as hormonal and muscular changes, and lifestyle changes, which reduces its correctness and completeness.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"Hey there, little buddy! So, you know how sometimes you might get really hungry and want to eat a whole pizza by yoursel",10969
6,4,8,6,"The generated answer attempts to explain a priori and a posteriori knowledge with creative analogies, but it lacks factual accuracy and completeness in covering the key points from the reference answer.",A priori and a posteriori with easy examples,Imagine you have a big box of crayons. You want to know if they are really good for coloring. You can't just look at the,8816
2,1,6,2,"The generated answer lacks factual accuracy, fails to cover key points from the reference, and provides a confusing analogy that does not effectively explain how America became a 'Christian' nation.","How America became a 'Christian' nation, when the founding fathers tried so hard to stop this from happening?",Imagine you have a big box of crayons. Each crayon represents a person's freedom. The founding fathers were like a group,29068
2,4,8,4,"The generated answer contains significant hallucinations and incorrect facts, such as the 'sonic bubble' concept, but attempts to explain the concept in a simple and engaging manner.",What does the little ball inside a whistle do?,"Imagine you have a big, loud whistle. When you blow into it, it makes a really loud noise. But what's inside the whistle",2906
2,1,8,4,"The generated answer is incorrect and incomplete because it fails to address the actual purpose of the colored circles on carton boxes or packaged snacks, which is related to printing and color cartridge replacement, instead providing a misleading explanation about color coding and snack identification.",The different coloured circles on carton boxes or packaged snacks,"Hey there, little buddy! Do you know why some snacks come in different colored boxes? It's because of something called """,4985
