correctness,completeness,eli5_quality,overall,reasoning,question,generated,question_id
8,6,9,8,"The generated answer accurately conveys the Swiss National Bank's intention to stabilize the Swiss franc's price, but lacks specific details about the currency cap and its enforcement, while using a clear and simple analogy.",Why is the Swiss National Bank saying it will buy all other currencies in unlimited quantities? ELI5,The Swiss National Bank is like a big piggy bank that helps keep the Swiss franc's price steady. When other countries' m,9408
2,1,8,3,"The generated answer lacks factual accuracy and completeness, failing to explain the process of making over-caffeinated coffee, but uses simple language and analogies suitable for a novice.",How is over-caffeinated coffee made?,"Imagine you're making a yummy chocolate milk. If you use too much chocolate, it gets really strong and bitter, right? Ov",13545
8,6,9,8,"The generated answer effectively uses a simple car analogy to explain the concept, but lacks direct mention of the glycemic spike and processing of nasty ingredients, reducing its completeness score.","What's more harmful, eating shitfood only in sunday and saturday, or eating same amount of it splitted into 7 days.","Imagine your tummy is like a car. Eating too much not-so-good food makes the car go really fast, which is bad for it. Ea",27527
8,6,9,8,"The generated answer accurately conveys the relationship between old mathematical concepts and new computing applications, but lacks depth in explaining how math laid the groundwork for science and computing.","Why does abstract math have so much history and application to computing, but computers are so new?","Long, long ago, smart people started thinking about numbers and shapes in new ways. They made up ideas like sets and tru",4866
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and a toy box analogy that is clear for a novice, although it does not accurately represent the key points in the reference answer.",How do engineers get different amounts of horsepower out of engines that have the same number of cylinders without addin,Imagine your engine is like a big toy box. Engineers can make it stronger by changing a few things. They can tweak when ,25847
6,4,8,6,"The generated answer simplifies the issue and uses clear language, but lacks key points from the reference, such as the limited control of the government over unemployment rates and the role of businesses in hiring decisions.",Unemployment Rate for Teens and Young Adults in the US and what is being done to Improve it.,"To help young people not be unemployed, we teach them better at school so they can do many jobs. We also make the money ",12540
6,4,8,6,"The generated answer is partially correct and easy to understand, but it lacks key points from the reference answer, such as the purpose of reducing rattling and preventing the buckle from sliding down.",What is the purpose of the sewn on loop on a seat belt?,The sewn-on loop on a seat belt is like a special pocket for the buckle. It keeps the belt from slipping and makes sure ,5816
8,6,9,8,"The generated answer is mostly correct, easy to understand, and uses simple language, but lacks the specific example from the reference answer about food particles getting stuck between teeth.","Why do the mouths of wild animals (bear, wolves, lions, etc.) smell so bad in comparison to humans?","Wild animals like bears, wolves, and lions eat lots of raw meat and bones, which makes their mouths smell yucky. Their m",6411
8,6,9,7,"The generated answer is mostly correct and easy to understand, but lacks completeness in covering key points from the reference, such as the importance of habit and reinforcement of good behavior.","Why do dogs drink out of the toilet, even though you give them fresh water?",Dogs might like the water in the toilet because it smells and tastes different. Maybe their water bowl is old or hard to,7965
4,2,8,5,"The generated answer lacks factual accuracy and completeness in explaining how zero-calorie energy drinks work, but it uses simple language and a clear analogy to convey a basic idea.",How do zero calorie energy drinks work?,"Imagine a yummy drink that makes you feel awake and full of energy, but doesn't make your tummy grow bigger. It uses spe",2782
8,6,9,8,"The generated answer is mostly correct, provides a good analogy, and is easy to understand, but lacks the reference's point about the lack of incentive to improve sound quality.",Why is the sound quality at a drive through so bad?,"Imagine you're in a car with big, thick walls to keep out noise, like a soundproof room. This is to keep your car comfy,",17821
8,4,9,7,"The generated answer is mostly correct, simple, and clear, but lacks completeness in covering key points like Adobe's target market and pricing strategy.",why are adobe products so expensive?,Adobe's fancy computer tools are like really cool toys that take a lot of time and money to make. They keep making them ,1461
6,4,8,6,"The generated answer is creative and simple, but lacks key points from the reference, such as the body's expectation of sweetness and the potential to get used to diluted drinks.","Why does water taste delicious and refreshing, but watered-down drinks taste disgusting?","Water is like a big, clean glass that tastes yummy because it's so fresh! When you drink it, your tongue can feel all th",19135
8,6,9,8,"The generated answer is mostly correct, uses a good analogy, and is simple to understand, but lacks some key points from the reference, such as the relationship between volts, amps, and watts, and the complexity of calculating energy from amp hours.","What is the difference between watts, volts and amps? Amp hours?","Imagine you have a water hose. Amps are like how much water flows through it, volts are like the water pressure, and wat",5483
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks specific details about the time interval used for sampling and the potential for uneven distribution of events.",How are time statistics calculated? I.e: every 20 a kid dies and stuff like that. How accurate this kind of numbers are?,"Imagine you're counting how many kids play in the park every day. To know how many kids usually play, you might look at ",6140
8,6,9,8,"The generated answer is mostly correct, complete, and easy to understand, but lacks a clear explanation of the 5th amendment and its relation to coercing incriminating testimony.",Are undercover cops not a violation of the 5th amendment?,Imagine undercover cops are like secret agents. They can sometimes make people say or do things that could get them in t,25797
4,2,8,5,"The generated answer lacks factual accuracy and completeness, but uses simple language and analogies, and fails to mention known herbs like Pennyroyal used for abortion induction as mentioned in the reference answer.",Was there any form of birth control used at brothels in pre-moderrn times? How did women prevent getting pregnant?,"In the olden days, at places where ladies worked, they tried to stop baby-making. They'd pull out before the big squishy",795
2,2,8,4,"The generated answer lacks factual accuracy and completeness, but uses simple language and analogies, making it somewhat easy to understand for a novice.",Why is there ice in the mens urinals,"The ice in the men's urinals is like a little helper! It stops yucky germs from growing, just like how you wash your han",2054
8,6,9,7,"The generated answer is mostly factually correct, simple, and clear, but lacks completeness in covering key points like lifestyle changes and muscular adjustments mentioned in the reference answer.",why does experiencing one or more pregnancies seem to lead to long term struggles with body weight for women ?,"When a mommy is growing a baby in her tummy, her body changes a lot! It makes special juices that help the baby grow but",10969
